User-ID,Location,Age
8,"timmins, ontario, canada",32.0
17,"chesapeake, virginia, usa",32.0
53,"tacoma, washington, usa",32.0
99,"franktown, colorado, usa",42.0
114,"ligonier, pennsylvania, usa",57.0
242,"neuffen, baden-wuerttemberg, germany",37.0
243,"arden hills, minnesota, usa",32.0
244,"college station, texas, usa",32.0
254,"minneapolis, minnesota, usa",24.0
300,"newport news, virginia, usa",32.0
383,"carmichael, california, usa",32.0
384,"bucuresti, n/a, romania",23.0
388,"nashville, tennessee, usa",35.0
392,"barcelona, catalunya, spain",44.0
408,"mountain view, california, usa",17.0
424,"portland, oregon, usa",29.0
446,"chevy chase, dc, usa",32.0
476,"rome, new york, usa",32.0
487,"houston, texas, usa",32.0
503,"el centro, california, usa",40.0
505,"washington, dc, usa",51.0
507,"dumas, arkansas, usa",32.0
566,"springfield, illinois, usa",32.0
619,"long beach, mississippi, usa",32.0
625,"marseille, provence, france",41.0
626,"graz, steiermark, austria",41.0
638,"san diego, california, usa",20.0
643,"grenoble, rhone-alpes, france",23.0
651,"interlachen, florida, usa",26.0
709,"roanoke, virginia, usa",14.0
728,"welsh, louisiana, usa",32.0
735,"cortland, new york, usa",29.0
741,"novinger, missouri, usa",16.0
753,"stockton, california, usa",32.0
805,"sonoma, california, usa",34.0
819,"deer park, new york, usa",32.0
850,"bremen, bremen, germany",22.0
876,"hanover, massachusetts, usa",33.0
882,"berkeley, california, usa",23.0
899,"bielefeld, nordrhein-westfalen, germany",23.0
900,"scranton, pennsylvania, usa",25.0
901,"worcester, worcestershire, united kingdom",21.0
929,"king of prussia, ,",36.0
989,"san antonio, texas, usa",33.0
1025,"maidstone, england, united kingdom",33.0
1063,"edmonton, alberta, canada",19.0
1075,"hurst, texas, usa",49.0
1083,"newport news, virginia, usa",32.0
1113,"richmond, missouri, usa",22.0
1116,"calgary, alberta, canada",29.0
1129,"bothell, washington, usa",53.0
1131,"berkeley, ,",22.0
1133,"kingswood, south australia, australia",46.0
1155,"smyrna, georgia, usa",22.0
1167,"milwaukee, wisconsin, usa",25.0
1184,"la mirada, california, usa",38.0
1192,"klang, selangor, malaysia",27.0
1211,"rennes, bretagne, france",22.0
1248,"dixon, california, usa",32.0
1254,"16605 bennington ct, indiana, usa",26.0
1297,"los gatos, california, usa",30.0
1412,"winston-salem, north carolina, usa",47.0
1424,"north avoca, new south wales, australia",32.0
1435,"st. louis, missouri, usa",36.0
1436,"sault ste. marie, ontario, canada",32.0
1485,"allendale, new jersey, usa",30.0
1548,"brooklyn, new york, usa",28.0
1585,"albuquerque, new mexico, usa",29.0
1596,"jackson, tennessee, usa",51.0
1608,"collingswood, new jersey, usa",27.0
1652,"new york, new york, usa",32.0
1660,"fort worth, texas, usa",32.0
1674,"minneapolis, minnesota, usa",26.0
1688,"chelmsford, england, united kingdom",53.0
1725,"palma, illes balears, united kingdom",25.0
1733,"independence, west virginia, usa",30.0
1745,"cedar rapids, iowa, usa",32.0
1797,"paris, paris, france",32.0
1805,"euless, texas, usa",32.0
1812,"provo, utah, usa",24.0
1848,"bellingham, washington, usa",22.0
1903,"hualien, taiwan, taiwan",36.0
1928,"kansas city, missouri, usa",17.0
2009,"wuppertal, nordrhein-westfalen, germany",31.0
2010,"colfax, illinois, usa",32.0
2012,"bray, wicklow,",34.0
2024,"oakland, california, usa",34.0
2030,"seabeck, washington, usa",31.0
2033,"omaha, nebraska, usa",27.0
2041,"playa del rey, california, usa",32.0
2046,"philadelphia, missouri, usa",22.0
2084,"logroño, la rioja, spain",21.0
2090,"dudley, massachusetts, usa",28.0
2103,"minneapolis, minnesota, usa",43.0
2110,"charlotte, north carolina, usa",32.0
2132,"hammond, indiana, usa",32.0
2134,"oakland, california, usa",35.0
2179,"sunderland, massachusetts, usa",30.0
2197,"n/a, travelling, canada",26.0
2276,"niskayuna, new york, usa",46.0
2287,"north chili, new york, usa",35.0
2288,"spring hill, tennessee, usa",30.0
2313,"cincinnati, ohio, usa",23.0
2326,"porto, porto, portugal",23.0
2337,"grove city, ohio, usa",34.0
2358,"bryan, texas, usa",23.0
2363,"mountain home, idaho, usa",42.0
2437,"san antonio, texas, usa",45.0
2442,"torino, ,",25.0
2559,"santa rosa, california, usa",32.0
2589,"shrewsbury, massachusetts, usa",32.0
2630,"kingsland, texas, usa",66.0
2719,"staten island, new york, usa",37.0
2766,"frisco, texas, usa",42.0
2790,"san antonio, texas, usa",50.0
2793,"jefferson, georgia, usa",34.0
2799,"eugene, oregon, usa",32.0
2853,"cleveland, ohio, usa",32.0
2891,"beaverton, oregon, usa",32.0
2907,"new york, new york, usa",32.0
2977,"richland, washington, usa",25.0
3017,"roma, lazio, italy",32.0
3066,"grand ledge, michigan, usa",29.0
3088,"avignon, vaucluse, france",25.0
3142,"lawrenceville, georgia, usa",29.0
3145,"austin, texas, usa",34.0
3167,"milwaukee, wisconsin, usa",42.0
3192,"milwaukee, wisconsin, usa",32.0
3266,"stockholm, n/a, sweden",32.0
3282,"didsbury, alberta, canada",52.0
3326,"bonn, nordrhein-westfalen, germany",37.0
3329,"grantsville, utah, usa",32.0
3331,"mckeesport, pennsylvania, usa",60.0
3346,"tehran, tehran, iran",20.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3416,"aachen, nordrhein-westfalen, germany",34.0
3471,"victoria, british columbia, canada",32.0
3481,"littleton, colorado, usa",49.0
3537,"seattle, washington, usa",32.0
3538,"madrid, madrid, spain",31.0
3542,"jersey city, new jersey, usa",32.0
3556,"bismarck, north dakota, usa",68.0
3569,"n/a, n/a, usa",32.0
3578,"halifax, nova scotia, canada",25.0
3640,"sacramento, california, usa",32.0
3643,"robbinsdale, minnesota, usa",32.0
3669,"williamsburg, massachusetts, usa",34.0
3675,"barcelona, catalunya, spain",24.0
3693,"hampton, virginia, usa",23.0
3719,"eielson afb, alaska, usa",18.0
3757,"madrid, madrid, spain",32.0
3761,"san diego, california, usa",32.0
3817,"columbia, south carolina, usa",29.0
3827,"orlando, florida, usa",23.0
3840,"meriden, connecticut, usa",46.0
3856,"auckland, n/a, new zealand",32.0
3881,"ottawa, ontario, canada",34.0
3915,"basel, basel-stadt, switzerland",32.0
3917,"toronto, ontario, canada",25.0
3923,"vienna, ,",32.0
3965,"st. peters, missouri, usa",32.0
3977,"columbiana, alabama, usa",63.0
4017,"new orleans, louisiana, usa",48.0
4049,"poringland, england, united kingdom",65.0
4066,"birmingham, alabama, usa",31.0
4091,"estill springs, tennessee, usa",77.0
4092,"hixson, tennessee, usa",27.0
4098,"mei foo, kowloon, hong kong",30.0
4114,"augsburg, bayern, germany",32.0
4131,"hemel hempstead, england, united kingdom",51.0
4138,"austin, texas, usa",20.0
4144,"winnipeg, manitoba, canada",31.0
4149,"highland, utah, usa",32.0
4157,"birmingham, alabama, usa",39.0
4164,"anchorage, alaska, usa",32.0
